"Name","Ticker","Morningstar Category","US Category Group","Firm Name","Inception 
Date","Manager Name","Clean Share - Service Fee Arrangement","Annual Report 
Net Expense 
Ratio 
Year2017","Annual Report 
Net Expense 
Ratio 
Year2018","Annual Report 
Net Expense 
Ratio 
Year2019","Annual Report 
Net Expense 
Ratio","Net Assets 
Date","Net Assets 
- Share Class 
USD","Fund Size 
Date","Fund Size 
USD","Oldest 
Share Class","Management 
Fee","Prospectus 
Net Expense 
Ratio","Share Class Type","Index 
Fund","Alpha 
1 Yr (Mo-End) 
USD","Alpha 
3 Yr (Mo-End) 
USD","Alpha 
5 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
1 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
3 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
5 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
1 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
3 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
5 Yr (Mo-End) 
USD","Socially 
Conscious","Annual Report 
Expense Waiver 
Year2017","Annual Report 
Expense Waiver 
Year2018","Annual Report 
Expense Waiver 
Year2019","Annual Report 
Expense Waiver","Annual Report Expense Waiver Amount 
Year2017 
USD","Annual Report Expense Waiver Amount 
Year2018 
USD","Annual Report Expense Waiver Amount 
Year2019 
USD","Annual Report Expense Waiver Amount 
USD","Prospectus Expense Waiver","Prospectus Expense Waiver 
Expiration Date","Prospectus Expense Waiver Type","Management Fee 
1st Breakpoint","Management Fee 
2nd Breakpoint","Management Fee 
3rd Breakpoint","Management Fee 
4th Breakpoint","Management Fee 
5th Breakpoint","Management Fee 
6th Breakpoint","Management Fee 
7th Breakpoint","Management Fee 
8th Breakpoint","Management Fee 
9th Breakpoint","Management Fee 
Breakpoint Unit","Net Assets - share class (Monthly) 
2017-01 
USD","Net Assets - share class (Monthly) 
2017-02 
USD","Net Assets - share class (Monthly) 
2017-03 
USD","Net Assets - share class (Monthly) 
2017-04 
USD","Net Assets - share class (Monthly) 
2017-05 
USD","Net Assets - share class (Monthly) 
2017-06 
USD","Net Assets - share class (Monthly) 
2017-07 
USD","Net Assets - share class (Monthly) 
2017-08 
USD","Net Assets - share class (Monthly) 
2017-09 
USD","Net Assets - share class (Monthly) 
2017-10 
USD","Net Assets - share class (Monthly) 
2017-11 
USD","Net Assets - share class (Monthly) 
2017-12 
USD","Net Assets - share class (Monthly) 
2018-01 
USD","Net Assets - share class (Monthly) 
2018-02 
USD","Net Assets - share class (Monthly) 
2018-03 
USD","Net Assets - share class (Monthly) 
2018-04 
USD","Net Assets - share class (Monthly) 
2018-05 
USD","Net Assets - share class (Monthly) 
2018-06 
USD","Net Assets - share class (Monthly) 
2018-07 
USD","Net Assets - share class (Monthly) 
2018-08 
USD","Net Assets - share class (Monthly) 
2018-09 
USD","Net Assets - share class (Monthly) 
2018-10 
USD","Net Assets - share class (Monthly) 
2018-11 
USD","Net Assets - share class (Monthly) 
2018-12 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD"
"William Blair Small-Mid Cap Value N","BSMNX","US Fund Mid-Cap Blend","U.S. Equity","William Blair","2011-12-15","David S. Mitchell;Mark T. Leslie;Chad M. Kilmer;","Bundled","1.35","1.28","1.25","1.25","2020-06-11","157,933.00","2020-06-11","1,201,878.00","No","0.95","1.25","N","No","-29.06","-14.49","-10.04","-28,228.48","-64,469.27","-774,644.47","1,860,835.41","84,746.47","-1,593,421.91","No","3.35","5.47","5.39","5.39","9,399","16,097","14,000","14,000","5.58","2020-04-30","Contractual","","","","","","","","","","Monetary/Dollars","266,666.00","278,078.00","276,925.00","275,866.00","269,604.00","285,647.00","285,923.00","275,970.00","290,889.00","294,950.00","284,799.00","284,348.00","295,946.00","284,663.00","286,301.00","297,303.00","303,275.00","304,071.00","311,788.00","322,890.00","389,426.00","272,262.00","256,145.00","233,771.00","270,034.00","290,992.00","283,761.00","264,306.00","233,947.00","237,014.00","238,499.00","230,522.00","239,855.00","252,005.00","256,794.00","314,832.00"
"William Blair Small-Mid Cap Value R6","BSMRX","US Fund Mid-Cap Blend","U.S. Equity","William Blair","2019-05-01","David S. Mitchell;Mark T. Leslie;Chad M. Kilmer;","Unbundled","","","0.95","0.95","2020-06-11","225,624.00","2020-06-11","1,201,878.00","No","0.95","0.95","Retirement","No","-28.84","-14.25","-9.80","259,322.94","","","1,860,835.41","84,746.47","-1,593,421.91","No","","","3.16","3.16","","","2,000","2,000","5.49","2020-04-30","Contractual","","","","","","","","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,307.00","9,868.00","9,932.00","9,603.00","455,473.00","74,828.00","157,810.00","170,552.00"
"Wilmington Broad Market Bond A","WABMX","US Fund Intermediate Core Bond","Taxable Bond","Wilmington Funds","1993-07-16","James M. Hannan;Wilmer C. Stith;Dominick J. D'Eramo;Randy H. Vogel;","Bundled","0.89","0.87","0.83","0.83","2020-06-11","3,255,070.00","2020-06-11","550,400,889.00","No","0.45","0.84","A","No","-1.30","-0.65","-0.65","-477,291.13","-1,523,112.57","-2,800,363.70","-45,536,049.57","-16,318,404.89","66,167,640.08","No","0.20","0.17","0.25","0.25","9,763","7,196","9,773","9,773","0.24","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","4,605,106.00","4,522,797.00","4,491,093.00","4,497,550.00","4,487,683.00","4,478,762.00","4,402,814.00","4,418,772.00","4,387,141.00","4,381,612.00","4,332,109.00","4,290,650.00","4,236,350.00","4,181,625.00","4,160,131.00","4,067,798.00","4,075,133.00","4,064,116.00","4,049,409.00","4,053,533.00","3,977,019.00","3,938,444.00","3,916,215.00","3,563,864.00","3,581,241.00","3,571,797.00","3,603,698.00","3,495,872.00","3,517,749.00","2,725,398.00","2,716,668.00","2,764,960.00","2,747,510.00","3,036,828.00","3,002,914.00","2,990,472.00"
"Wilmington Broad Market Bond Instl","WIBMX","US Fund Intermediate Core Bond","Taxable Bond","Wilmington Funds","1993-07-16","James M. Hannan;Wilmer C. Stith;Dominick J. D'Eramo;Randy H. Vogel;","Semi-bundled","0.55","0.53","0.49","0.49","2020-06-11","547,145,819.00","2020-06-11","550,400,889.00","Yes","0.45","0.49","Inst","No","-1.21","-0.40","-0.36","-45,058,758.43","-14,795,292.32","68,968,003.78","-45,536,049.57","-16,318,404.89","66,167,640.08","No","0.29","0.25","0.34","0.34","1,438,540","1,248,105","1,770,801","1,770,801","0.34","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","487,567,624.00","501,680,016.00","505,795,397.00","502,825,519.00","504,253,651.00","503,424,751.00","507,326,667.00","489,310,364.00","486,971,190.00","494,241,860.00","492,749,305.00","498,165,714.00","502,127,631.00","497,274,308.00","510,214,897.00","506,148,974.00","511,469,187.00","509,446,067.00","510,314,812.00","512,341,252.00","509,150,375.00","503,988,367.00","517,946,573.00","520,982,686.00","525,789,761.00","531,492,694.00","542,645,039.00","542,951,161.00","550,335,158.00","500,761,557.00","504,655,477.00","518,662,597.00","515,482,780.00","517,891,612.00","517,249,035.00","512,108,742.00"
"Wilmington Diversified Income A","WDIAX","US Fund Allocation--50% to 70% Equity","Allocation","Wilmington Funds","1999-02-04","James M. Hannan;Dominick J. D'Eramo;Andrew H. Hopkins;Allen E. Choinski;Matthew D. Glaser;Mark D. Horst;","Bundled","0.74","0.66","0.60","0.60","2020-06-11","33,219,168.00","2020-06-11","33,740,315.00","Yes","0.40","0.75","A","No","-7.77","-3.39","-2.89","-3,994,457.29","-12,216,602.56","-23,766,754.08","-4,106,942.21","-12,531,031.56","-24,761,907.76","No","0.85","1.06","1.07","1.07","367,506","454,347","420,745","420,745","1.07","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","42,624,561.00","42,947,611.00","42,617,495.00","42,877,592.00","43,136,940.00","43,059,701.00","43,297,179.00","42,934,254.00","43,246,966.00","43,122,006.00","43,035,957.00","42,876,776.00","43,314,156.00","41,509,946.00","41,099,825.00","40,993,798.00","40,803,041.00","40,276,116.00","40,794,170.00","40,755,267.00","40,545,644.00","38,183,561.00","38,632,402.00","36,629,110.00","38,183,317.00","38,621,872.00","38,623,882.00","38,970,239.00","37,659,714.00","38,832,622.00","38,398,890.00","37,944,906.00","38,377,598.00","38,604,122.00","38,671,334.00","39,051,605.00"
"Wilmington Diversified Income I","WDIIX","US Fund Allocation--50% to 70% Equity","Allocation","Wilmington Funds","2010-06-11","James M. Hannan;Dominick J. D'Eramo;Andrew H. Hopkins;Allen E. Choinski;Matthew D. Glaser;Mark D. Horst;","Semi-bundled","0.49","0.41","0.35","0.35","2020-06-11","521,147.00","2020-06-11","33,740,315.00","No","0.40","0.50","Inst","No","-7.50","-3.14","-2.64","-112,484.91","-314,429.00","-995,153.68","-4,106,942.21","-12,531,031.56","-24,761,907.76","No","0.85","1.06","1.07","1.07","7,907","11,743","10,766","10,766","1.07","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","662,201.00","704,820.00","707,043.00","725,141.00","734,426.00","1,116,402.00","1,135,240.00","1,134,965.00","1,145,119.00","1,144,468.00","1,159,695.00","1,068,522.00","1,199,164.00","1,158,517.00","1,148,807.00","1,109,210.00","1,083,992.00","1,013,776.00","1,036,303.00","1,029,510.00","1,051,007.00","1,113,413.00","1,132,580.00","1,067,370.00","1,113,807.00","1,127,997.00","625,098.00","637,568.00","612,610.00","631,928.00","629,069.00","646,345.00","666,128.00","674,788.00","677,453.00","684,234.00"
"Wilmington Global Alpha Equities A","WRAAX","US Fund Long-Short Equity","Alternative","Wilmington Funds","2012-01-12","Gregg R. Thomas;Matthew D. Glaser;Jordan Strauss;Thomas S. Simon;","Bundled","2.48","1.50","1.49","1.49","2020-06-11","276,698.00","2020-06-11","219,235,717.00","No","1.50","1.50","A","No","-6.28","-2.55","-2.80","154,970.60","118,053.08","-2,293,216.34","57,964,385.94","105,210,387.62","24,198,943.56","No","0.71","0.96","0.86","0.86","3,139","1,332","1,095","1,095","0.87","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","195,364.00","188,423.00","188,836.00","180,163.00","152,239.00","151,776.00","145,412.00","134,902.00","135,866.00","136,264.00","138,149.00","132,278.00","134,100.00","131,999.00","132,290.00","132,309.00","161,330.00","136,303.00","138,958.00","120,406.00","120,957.00","117,746.00","119,531.00","116,106.00","119,694.00","121,756.00","122,899.00","124,691.00","124,391.00","127,508.00","140,371.00","146,142.00","178,467.00","149,164.00","127,356.00","129,074.00"
"Wilmington Global Alpha Equities I","WRAIX","US Fund Long-Short Equity","Alternative","Wilmington Funds","2012-01-12","Gregg R. Thomas;Matthew D. Glaser;Jordan Strauss;Thomas S. Simon;","Semi-bundled","2.12","1.25","1.24","1.24","2020-06-11","218,959,019.00","2020-06-11","219,235,717.00","Yes","1.50","1.25","Inst","No","-5.96","-2.28","-2.56","57,809,415.34","105,092,334.55","26,492,159.90","57,964,385.94","105,210,387.62","24,198,943.56","No","0.70","0.95","0.86","0.86","880,764","1,320,526","1,315,428","1,315,428","0.87","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","100,954,837.00","101,139,403.00","104,097,446.00","103,779,599.00","108,131,920.00","111,794,036.00","115,459,353.00","129,157,849.00","144,077,561.00","147,140,615.00","150,730,319.00","153,291,099.00","157,784,909.00","155,663,845.00","156,578,106.00","156,312,830.00","149,553,736.00","149,845,543.00","153,358,547.00","153,836,986.00","154,801,726.00","149,538,189.00","151,113,141.00","144,656,844.00","149,945,444.00","151,955,010.00","159,707,395.00","167,841,554.00","165,134,110.00","176,872,411.00","182,418,190.00","186,011,050.00","192,094,008.00","196,115,410.00","197,757,911.00","204,474,943.00"
"Wilmington Intermediate-Term Bond A","WIBAX","US Fund Intermediate Core Bond","Taxable Bond","Wilmington Funds","2003-08-18","James M. Hannan;Wilmer C. Stith;Dominick J. D'Eramo;Randy H. Vogel;","Bundled","0.86","0.83","0.80","0.80","2020-06-11","1,485,416.00","2020-06-11","51,117,899.00","No","0.45","0.84","A","No","-1.82","-0.67","-0.63","-381,267.21","-1,371,508.48","-2,966,264.82","-32,403,315.48","-64,490,569.62","-85,570,345.05","No","0.32","0.43","0.52","0.52","9,857","10,544","9,516","9,516","0.48","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","2,859,511.00","2,831,379.00","2,768,442.00","2,763,088.00","2,735,068.00","2,728,285.00","2,740,322.00","2,740,224.00","2,693,305.00","2,682,739.00","2,464,639.00","2,152,587.00","2,103,281.00","1,957,381.00","1,958,934.00","1,909,900.00","1,912,150.00","1,842,262.00","1,833,189.00","1,821,873.00","1,794,661.00","1,785,259.00","1,787,028.00","1,800,411.00","1,796,339.00","1,765,715.00","1,775,204.00","1,760,689.00","1,771,259.00","1,779,209.00","1,778,174.00","1,758,416.00","1,689,988.00","1,686,115.00","1,676,978.00","1,672,234.00"
"Wilmington Intermediate-Term Bond Instl","WIBIX","US Fund Intermediate Core Bond","Taxable Bond","Wilmington Funds","1996-11-18","James M. Hannan;Wilmer C. Stith;Dominick J. D'Eramo;Randy H. Vogel;","Semi-bundled","0.53","0.52","0.49","0.49","2020-06-11","49,632,483.00","2020-06-11","51,117,899.00","Yes","0.45","0.49","Inst","No","-1.58","-0.39","-0.33","-32,022,048.27","-63,119,061.14","-82,604,080.23","-32,403,315.48","-64,490,569.62","-85,570,345.05","No","0.40","0.49","0.58","0.58","513,110","457,955","455,042","455,042","0.58","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","127,371,751.00","132,897,024.00","134,694,149.00","127,058,363.00","106,640,718.00","101,515,952.00","101,005,663.00","97,711,186.00","90,511,503.00","89,121,263.00","88,114,773.00","78,505,093.00","80,142,700.00","83,337,824.00","82,604,950.00","82,231,740.00","81,346,751.00","81,430,553.00","79,893,239.00","79,383,246.00","79,116,495.00","78,254,909.00","76,633,325.00","77,380,170.00","77,492,873.00","75,455,695.00","76,262,366.00","76,490,430.00","77,263,508.00","58,592,290.00","57,142,982.00","56,938,552.00","56,541,012.00","55,680,728.00","56,005,809.00","55,628,803.00"
"Wilmington International A","WINAX","US Fund Foreign Large Blend","International Equity","Wilmington Funds","2005-12-19","Thorsten Winkelmann;Karsten Niemann;Isabelle de Gavoty;Toshinori Kobayashi;Yoshihide Itagaki;Toby Hudson;Caroline Moleux;Matthew D. Glaser;Kai Hirschen;Clement K. Miller;Stefan Ewald;Robert Hofmann;","Bundled","1.22","1.04","1.00","1.00","2020-06-11","3,176,724.00","2020-06-11","547,611,468.00","No","0.81","1.00","A","No","1.37","0.15","-0.15","-1,351,197.09","-1,654,026.54","-2,416,239.25","9,960,445.82","100,342,408.38","47,665,015.80","No","0.57","0.44","0.50","0.50","26,364","23,964","28,078","28,078","0.53","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","4,572,547.00","4,638,101.00","4,750,225.00","4,912,708.00","5,092,899.00","5,113,291.00","5,278,187.00","5,352,092.00","5,459,952.00","5,506,828.00","5,538,242.00","5,582,098.00","5,868,494.00","5,530,574.00","5,487,664.00","5,472,883.00","5,272,783.00","5,175,042.00","9,242,320.00","7,300,801.00","7,279,891.00","4,676,948.00","4,655,195.00","4,384,058.00","4,658,398.00","4,731,529.00","4,744,603.00","4,870,801.00","4,550,600.00","3,741,544.00","3,571,509.00","3,463,408.00","3,495,290.00","3,586,599.00","3,619,936.00","3,733,230.00"
"Wilmington International Institutional","WINIX","US Fund Foreign Large Blend","International Equity","Wilmington Funds","1998-06-29","Thorsten Winkelmann;Karsten Niemann;Isabelle de Gavoty;Toshinori Kobayashi;Yoshihide Itagaki;Toby Hudson;Caroline Moleux;Matthew D. Glaser;Kai Hirschen;Clement K. Miller;Stefan Ewald;Robert Hofmann;","Semi-bundled","1.09","0.91","0.87","0.87","2020-06-11","544,434,744.00","2020-06-11","547,611,468.00","Yes","0.81","0.87","Inst","No","1.66","0.32","0.00","11,311,642.91","101,996,434.92","50,081,255.05","9,960,445.82","100,342,408.38","47,665,015.80","No","0.45","0.33","0.39","0.39","1,802,145","1,830,088","2,279,104","2,279,104","0.41","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","410,179,075.00","416,089,703.00","426,921,576.00","438,997,724.00","466,110,526.00","480,132,074.00","503,673,423.00","529,735,215.00","548,051,928.00","560,526,641.00","576,700,521.00","588,961,719.00","667,815,992.00","640,441,099.00","647,338,300.00","655,209,388.00","643,035,472.00","619,630,668.00","638,639,013.00","630,151,456.00","628,288,257.00","569,842,023.00","564,054,883.00","499,995,168.00","536,424,057.00","556,775,049.00","557,095,934.00","570,241,252.00","540,392,235.00","568,478,753.00","555,753,567.00","540,179,593.00","550,750,302.00","570,038,531.00","573,517,242.00","593,251,039.00"
"Wilmington Large-Cap Strategy Instl","WMLIX","US Fund Large Blend","U.S. Equity","Wilmington Funds","2003-07-01","Andrew H. Hopkins;Matthew D. Glaser;Karen Purzitsky;","Semi-bundled","0.25","0.25","0.25","0.25","2020-06-11","480,635,410.00","2020-06-11","480,635,410.00","Yes","0.50","0.25","Inst","No","-0.34","-0.23","-0.71","-52,529,526.27","","","-52,529,526.27","","","No","0.65","0.65","0.64","0.64","3,677,935","3,524,493","3,255,749","3,255,749","0.64","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","565,980,910.00","581,199,265.00","566,363,893.00","554,670,826.00","558,556,451.00","554,608,037.00","561,025,742.00","548,297,436.00","541,302,903.00","548,933,720.00","551,110,696.00","544,980,440.00","547,555,281.00","523,605,303.00","508,467,918.00","504,174,783.00","511,576,602.00","505,751,090.00","520,476,211.00","534,386,152.00","530,862,500.00","492,005,994.00","505,144,126.00","450,178,519.00","487,237,540.00","504,049,716.00","511,303,444.00","527,935,198.00","490,501,981.00","517,321,406.00","524,371,563.00","513,488,608.00","517,520,729.00","526,712,980.00","540,853,148.00","545,950,420.00"
"Wilmington Municipal Bond A","WTABX","US Fund Muni National Interm","Municipal Bond","Wilmington Funds","2005-12-19","Daniel Scholl;John J. Malloy;Jason Hannon;","Bundled","0.74","0.74","0.74","0.74","2020-06-11","24,870,704.00","2020-06-11","357,859,906.00","No","0.45","0.74","A","No","-3.23","-1.94","-1.51","-4,937,735.11","-8,125,125.80","-18,504,649.70","58,277,148.51","51,392,330.02","35,009,537.42","No","0.35","0.25","0.36","0.36","122,547","78,343","102,573","102,573","0.36","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","32,982,362.00","31,914,593.00","31,745,823.00","31,916,560.00","32,051,003.00","31,829,538.00","32,030,555.00","32,151,588.00","31,886,268.00","31,697,365.00","31,186,337.00","31,269,669.00","30,599,189.00","30,378,666.00","29,975,911.00","29,077,816.00","29,183,545.00","29,083,093.00","28,955,045.00","28,237,591.00","27,989,388.00","27,330,662.00","27,308,166.00","27,463,218.00","28,380,208.00","28,426,731.00","28,501,293.00","28,519,263.00","29,707,221.00","25,563,735.00","25,689,432.00","25,906,920.00","25,614,353.00","25,482,084.00","25,599,815.00","25,293,835.00"
"Wilmington Municipal Bond Instl","WTAIX","US Fund Muni National Interm","Municipal Bond","Wilmington Funds","1993-11-01","Daniel Scholl;John J. Malloy;Jason Hannon;","Semi-bundled","0.49","0.49","0.49","0.49","2020-06-11","332,989,202.00","2020-06-11","357,859,906.00","Yes","0.45","0.49","Inst","No","-3.01","-1.65","-1.22","63,214,883.62","59,517,455.81","53,514,187.12","58,277,148.51","51,392,330.02","35,009,537.42","No","0.35","0.25","0.36","0.36","970,588","655,549","946,919","946,919","0.36","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","254,040,878.00","262,681,859.00","262,700,304.00","263,717,627.00","260,788,669.00","260,255,515.00","264,281,775.00","264,663,248.00","261,551,882.00","257,932,456.00","258,844,863.00","264,289,688.00","266,090,105.00","261,770,400.00","262,338,092.00","259,780,883.00","262,235,348.00","262,831,660.00","262,443,814.00","267,421,332.00","265,064,877.00","256,782,058.00","261,664,600.00","251,427,206.00","256,454,862.00","263,645,751.00","265,547,973.00","260,723,705.00","266,371,924.00","263,487,456.00","267,140,499.00","269,232,663.00","266,562,940.00","268,014,255.00","267,911,746.00","268,695,588.00"
"Wilmington New York Municipal Bond A","WNYAX","US Fund Muni New York Intermediate","Municipal Bond","Wilmington Funds","1993-09-22","Daniel Scholl;John J. Malloy;Jason Hannon;","Bundled","0.84","0.84","0.83","0.83","2020-06-11","7,397,564.00","2020-06-11","64,985,848.00","Yes","0.45","0.83","A","No","-2.84","-1.92","-1.51","-1,216,743.63","-10,297,630.93","-15,496,597.96","1,766,547.50","-22,116,865.55","-23,956,718.81","No","0.40","0.44","0.51","0.51","74,600","70,909","62,430","62,430","0.52","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","17,832,345.00","17,705,650.00","17,574,540.00","17,494,938.00","17,632,963.00","16,243,249.00","16,205,678.00","16,292,325.00","16,163,488.00","16,123,315.00","15,767,585.00","15,741,365.00","15,599,374.00","15,176,085.00","15,043,408.00","14,851,705.00","14,439,777.00","14,247,875.00","14,185,972.00","14,046,201.00","13,847,309.00","13,657,425.00","10,578,739.00","10,276,320.00","10,366,386.00","10,213,262.00","8,798,263.00","8,622,857.00","8,605,984.00","8,356,477.00","8,385,724.00","8,449,054.00","8,320,962.00","8,086,163.00","7,874,579.00","7,825,092.00"
"Wilmington New York Municipal Bond Instl","WNYIX","US Fund Muni New York Intermediate","Municipal Bond","Wilmington Funds","2003-08-18","Daniel Scholl;John J. Malloy;Jason Hannon;","Semi-bundled","0.59","0.59","0.58","0.58","2020-06-11","57,588,284.00","2020-06-11","64,985,848.00","No","0.45","0.58","Inst","No","-2.63","-1.70","-1.29","2,983,291.13","-11,819,234.62","-8,460,120.85","1,766,547.50","-22,116,865.55","-23,956,718.81","No","0.40","0.44","0.51","0.51","267,104","280,213","277,728","277,728","0.52","2020-08-31","Contractual","","","","","","","","","","Monetary/Dollars","65,946,571.00","68,604,133.00","67,720,532.00","68,002,425.00","67,500,381.00","66,460,603.00","67,752,444.00","68,247,140.00","65,310,404.00","64,711,629.00","63,578,270.00","60,351,698.00","58,158,294.00","57,585,164.00","57,586,089.00","56,581,595.00","56,191,198.00","54,641,765.00","55,525,993.00","55,130,558.00","54,587,655.00","54,740,029.00","54,787,733.00","52,222,626.00","51,640,664.00","52,003,472.00","53,444,067.00","53,252,283.00","53,798,317.00","54,893,392.00","54,920,293.00","54,777,521.00","53,875,270.00","54,017,556.00","54,280,054.00","54,133,538.00"
"Wilmington Real Asset A","WMMRX","US Fund World Allocation","Allocation","Wilmington Funds","2005-12-19","Thomas C. Seto;Stephen A. Rodosky;Matthew D. Glaser;Daniel He;Paul W. Bouchey;Jordan Strauss;","Bundled","1.20","0.99","0.96","0.96","2020-06-11","961,416.00","2020-06-11","204,299,948.00","No","0.56","1.10","A","No","-15.84","-6.32","-5.70","-64,181.20","-653,670.55","-1,122,673.72","-70,509,853.11","-126,582,690.22","-225,623,926.29","No","0.25","0.33","0.36","0.36","4,287","5,158","4,015","4,015","0.36","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","1,682,594.00","1,733,084.00","1,728,197.00","1,643,195.00","1,646,415.00","1,649,930.00","1,671,666.00","1,681,376.00","1,677,483.00","1,701,606.00","1,716,865.00","1,740,276.00","1,329,305.00","1,271,130.00","1,297,588.00","1,296,785.00","1,186,785.00","1,172,964.00","1,109,003.00","1,080,820.00","1,080,647.00","1,032,731.00","1,037,981.00","1,004,356.00","1,088,203.00","1,102,915.00","1,187,360.00","1,172,537.00","1,134,148.00","1,120,879.00","1,116,076.00","1,165,239.00","1,141,296.00","1,145,107.00","1,126,628.00","1,214,445.00"
"Wilmington Real Asset Institutional","WMRIX","US Fund World Allocation","Allocation","Wilmington Funds","2003-07-01","Thomas C. Seto;Stephen A. Rodosky;Matthew D. Glaser;Daniel He;Paul W. Bouchey;Jordan Strauss;","Semi-bundled","0.95","0.74","0.71","0.71","2020-06-11","203,338,532.00","2020-06-11","204,299,948.00","Yes","0.56","0.85","Inst","No","-15.54","-6.04","-5.43","-70,445,671.91","-125,929,019.67","-224,501,252.58","-70,509,853.11","-126,582,690.22","-225,623,926.29","No","0.25","0.33","0.36","0.36","1,081,579","1,085,971","1,096,568","1,096,568","0.36","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","416,714,704.00","379,243,916.00","367,318,064.00","345,859,385.00","348,052,023.00","348,811,272.00","356,595,687.00","337,982,737.00","332,769,125.00","310,801,736.00","315,802,023.00","319,680,956.00","310,422,690.00","295,874,028.00","304,728,842.00","307,679,481.00","304,409,173.00","300,725,154.00","302,642,616.00","309,404,328.00","307,589,852.00","293,980,716.00","299,039,643.00","282,756,597.00","306,739,570.00","307,642,747.00","313,938,290.00","309,547,039.00","306,313,119.00","312,705,667.00","312,468,465.00","315,060,720.00","316,909,929.00","320,608,556.00","315,908,464.00","320,920,223.00"
"Wilmington Short-Term Bond A","WSBAX","US Fund Short-Term Bond","Taxable Bond","Wilmington Funds","2003-08-25","James M. Hannan;Wilmer C. Stith;","Bundled","0.73","0.73","0.73","0.73","2020-06-11","6,168,681.00","2020-06-11","47,906,135.00","No","0.40","0.73","A","No","-0.36","-0.42","-0.26","484,815.02","-707,708.01","-4,320,459.24","-3,109,269.68","-24,715,455.91","-129,321,832.48","No","0.50","0.63","0.69","0.69","34,794","39,697","39,625","39,625","0.64","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","6,890,998.00","6,700,146.00","6,641,362.00","6,616,731.00","6,619,397.00","6,565,148.00","6,380,672.00","6,331,267.00","6,259,821.00","6,248,767.00","6,174,686.00","6,133,854.00","6,129,801.00","6,100,733.00","5,999,124.00","5,968,555.00","5,973,767.00","5,911,352.00","5,845,415.00","5,842,796.00","5,819,039.00","5,757,252.00","5,693,401.00","5,688,344.00","5,647,380.00","5,588,828.00","5,556,468.00","5,490,525.00","5,514,132.00","5,572,153.00","5,574,812.00","5,587,885.00","5,567,627.00","5,406,356.00","5,399,580.00","5,510,969.00"
"Wilmington Short-Term Bond Instl","WISBX","US Fund Short-Term Bond","Taxable Bond","Wilmington Funds","1996-04-01","James M. Hannan;Wilmer C. Stith;","Semi-bundled","0.48","0.48","0.48","0.48","2020-06-11","41,737,454.00","2020-06-11","47,906,135.00","Yes","0.40","0.48","Inst","No","-0.08","-0.17","-0.04","-3,594,084.70","-24,007,747.90","-125,001,373.25","-3,109,269.68","-24,715,455.91","-129,321,832.48","No","0.50","0.63","0.69","0.69","455,402","364,414","310,257","310,257","0.64","2019-08-31","Contractual","","","","","","","","","","Monetary/Dollars","84,624,527.00","66,245,386.00","63,829,607.00","63,721,899.00","63,994,966.00","63,434,859.00","62,329,314.00","61,281,184.00","60,106,599.00","59,635,550.00","60,280,582.00","57,646,522.00","48,855,585.00","47,830,040.00","47,504,075.00","46,232,790.00","46,618,850.00","45,533,805.00","45,266,935.00","45,100,651.00","45,030,151.00","45,341,656.00","45,149,965.00","44,379,576.00","44,065,956.00","44,290,892.00","44,439,619.00","44,641,682.00","44,356,392.00","44,934,089.00","44,321,904.00","44,245,826.00","43,778,466.00","44,184,726.00","43,341,794.00","43,925,612.00"
